transaction_id,transaction_timestamp,item_id,user_email,user_id,quantity,price,referrer_url,landing_page_url,utm_source,utm_medium,utm_campaign,device_type,session_id,conversion_time_minutes
TXN00014448,2025-11-21 02:19:04,P10102,user007214@example.com,U007214,1,17572,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10102?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,518df3da-91a3-4cbd-9676-2473bba2a4e3,877
TXN00014449,2025-11-21 11:09:35,P10425,user018058@example.com,U018058,1,8402,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10425?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,51a15972-94e7-4a8e-aa15-5474dd74376f,2422
TXN00014450,2025-11-21 07:26:55,P10432,user004496@example.com,U004496,1,9817,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10432?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,33934240-b818-48a7-8de2-986bfd342618,2431
TXN00014451,2025-11-21 08:35:48,P10142,user002204@example.com,U002204,1,20969,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10142?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,45f859fb-4fc3-4c89-98f3-789312916ead,404
TXN00014452,2025-11-20 21:43:53,P10264,user016798@example.com,U016798,1,9676,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10264?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,3eca90de-b345-4f16-b0d4-64400da86c9e,2644
TXN00014453,2025-11-21 13:04:48,P10064,user001372@example.com,U001372,1,27505,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10064?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,e167ee20-b4b4-462f-8b2b-43ba5a914294,2109
TXN00014454,2025-11-21 08:42:51,P10450,user003300@example.com,U003300,2,17167,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10450?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,2da35ce5-1a72-4025-bb48-3b4847ce9d99,1229
TXN00014455,2025-11-20 18:18:56,P10459,user017030@example.com,U017030,1,13625,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10459?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,tablet,33b1ce51-c8a5-4f6b-b7b3-be6361cb5549,1640
TXN00014456,2025-11-21 14:41:07,P10152,user012072@example.com,U012072,1,10606,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10152?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,7c154181-757b-4b23-a884-1a686fedd0be,854
TXN00014457,2025-11-20 16:32:56,P10453,user014543@example.com,U014543,1,15176,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10453?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,41b6a97d-7cfe-4e88-bf3c-82e1255aac71,1351
TXN00014458,2025-11-21 09:32:28,P10302,user000863@example.com,U000863,1,23151,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10302?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,2a216bd0-5c54-4a58-a8ab-4a8fb5fa5a64,522
